
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2023-01-01;55.554,48;4078987812093;57.907,77;5246998132314;58.888,59;6335320961014;56.131,32;1296379955811;53.946,34;685626942605;57.976,63;3760688928747;58.150,04;139319232373
2023-01-02;55.554,48;4078987812093;57.907,77;5246998132314;58.888,59;6335320961014;56.131,32;1296379955811;53.946,34;685626942605;57.976,63;3760688928747;58.150,04;139319232373
2023-01-03;55.343,69;4059878789669;57.668,53;5226708381363;58.655,36;6299749581819;55.894,30;1289136609421;53.763,76;685749129386;57.726,41;3742165841822;57.956,26;138542971307
2023-01-04;55.060,63;4033790437720;57.393,56;5199904971260;58.383,78;6263185673712;55.622,83;1281933468342;53.486,90;681334047135;57.438,67;3719389551401;57.646,95;137606053166
2023-01-05;55.488,07;4061105684661;57.820,12;5224028857245;58.816,99;6304926337691;56.047,31;1290809169097;53.861,35;685606158648;57.857,89;3733396789937;58.108,03;138618055755
2023-01-06;55.694,37;4090843779404;58.046,21;5245389067339;59.027,03;6324223884093;56.238,85;1294949651745;54.066,35;687994955366;58.070,90;3750192534679;58.273,22;138901085387
2023-01-07;55.694,37;4090843779404;58.046,21;5245389067339;59.027,03;6324223884093;56.238,85;1294949651745;54.066,35;687994955366;58.070,90;3750192534679;58.273,22;138901085387
2023-01-08;55.694,37;4090843779404;58.046,21;5245389067339;59.027,03;6324223884093;56.238,85;1294949651745;54.066,35;687994955366;58.070,90;3750192534679;58.273,22;138901085387
2023-01-09;55.865,02;4098714018333;58.184,05;5260352281836;59.231,31;6354295272065;56.428,42;1299453552192;54.198,10;689636313719;58.275,31;3762184517434;58.461,17;139182581118
2023-01-10;55.809,13;4090260272392;58.138,74;5256132993085;59.217,82;6354262591544;56.397,86;1299307588693;54.172,45;689410976649;58.231,25;3756764152478;58.454,49;139338057989
2023-01-11;55.758,35;4073939860307;58.067,74;5249744068242;59.166,34;6347387879505;56.358,35;1299679471690;54.118,32;688779936596;58.160,38;3754099723100;58.386,19;139332900618
2023-01-12;55.723,31;4072120350530;58.009,66;5248481721341;59.146,91;6348647439987;56.327,29;1301330017250;54.078,14;689150379138;58.110,54;3752028500199;58.326,43;139642014598
2023-01-13;55.930,40;4087126805193;58.238,54;5269640239676;59.394,63;6380323235252;56.539,96;1307115510158;54.253,46;692373637069;58.315,62;3768402562466;58.547,84;140280006363
2023-01-14;55.930,40;4087126805193;58.238,54;5269640239676;59.394,63;6380323235252;56.539,96;1307115510158;54.253,46;692373637069;58.315,62;3768402562466;58.547,84;140280006363
2023-01-15;55.930,40;4087126805193;58.238,54;5269640239676;59.394,63;6380323235252;56.539,96;1307115510158;54.253,46;692373637069;58.315,62;3768402562466;58.547,84;140280006363
2023-01-16;56.245,03;4113356545068;58.570,17;5300928299869;59.723,97;6421620746701;56.876,87;1317713051489;54.546,19;702238992203;58.634,85;3787145663267;58.888,86;141512928844
2023-01-17;56.164,11;4109256511624;58.492,08;5294578295270;59.626,32;6410516813330;56.778,47;1316707955260;54.491,91;703159047935;58.520,02;3787072799840;58.782,99;141474935291
2023-01-18;56.090,82;4104367214317;58.426,78;5288369427571;59.545,26;6411385970107;56.694,68;1314726541898;54.413,57;701896222704;58.428,54;3781266671912;58.703,69;141309551046
2023-01-19;55.631,35;4071073497813;57.961,44;5245243336293;59.060,21;6358189394878;56.229,27;1303895096190;53.998,70;696345677398;57.977,06;3748679950724;58.229,99;140205768285
2023-01-20;56.252,20;4114344215741;58.604,75;5301570913965;59.712,30;6424218765576;56.851,78;1317779862599;54.589,27;704486563284;58.619,36;3789690451055;58.890,06;141796325624
2023-01-21;56.252,20;4114344215741;58.604,75;5301570913965;59.712,30;6424218765576;56.851,78;1317779862599;54.589,27;704486563284;58.619,36;3789690451055;58.890,06;141796325624
2023-01-22;56.252,20;4114344215741;58.604,75;5301570913965;59.712,30;6424218765576;56.851,78;1317779862599;54.589,27;704486563284;58.619,36;3789690451055;58.890,06;141796325624
2023-01-23;56.190,26;4131554766549;58.517,84;5296179028554;59.656,94;6417934155310;56.796,80;1316624091730;54.504,52;703348511956;58.536,66;3789359250778;58.805,80;141721086130
2023-01-24;56.149,02;4124647165133;58.488,45;5291025411856;59.623,25;6413004339939;56.777,72;1316187148609;54.487,19;703091904241;58.483,19;3786971228126;58.762,90;141707259895
2023-01-25;55.760,78;4092664946964;58.070,62;5249339552364;59.193,39;6365324396451;56.371,62;1306316218800;54.109,95;698126743952;58.065,14;3758583003743;58.353,17;140708584788
2023-01-26;55.758,00;4078567475905;58.052,91;5245097030097;59.197,88;6363835397235;56.376,41;1306323526076;54.084,08;697848278814;58.069,57;3758243535327;58.357,44;140719499386
2023-01-27;56.073,99;4100274766775;58.391,39;5274494926637;59.540,28;6397280242457;56.694,23;1313628163248;54.397,08;702262906847;58.379,08;3776974501692;58.677,69;141474150765
2023-01-28;56.073,99;4100274766775;58.391,39;5274494926637;59.540,28;6397280242457;56.694,23;1313628163248;54.397,08;702262906847;58.379,08;3776974501692;58.677,69;141474150765
2023-01-29;56.073,99;4100274766775;58.391,39;5274494926637;59.540,28;6397280242457;56.694,23;1313628163248;54.397,08;702262906847;58.379,08;3776974501692;58.677,69;141474150765
2023-01-30;56.144,85;4110537915419;58.495,83;5283833680077;59.621,50;6406635772716;56.785,54;1315697372142;54.496,98;704169112000;58.433,98;3784878490437;58.769,87;141695633748
2023-01-31;56.240,25;4103799809230;58.613,15;5278309756412;59.754,71;6400143475461;56.886,42;1317092611991;54.596,79;704538867911;58.526,40;3778031056844;58.909,27;141788746112
2023-02-01;55.961,71;4078028120401;58.298,62;5245440683581;59.452,47;6366728337047;56.600,39;1309539311380;54.311,11;703362766985;58.197,43;3751309636099;58.606,49;141029666683
2023-02-02;55.614,45;4051517070802;57.925,95;5209172883201;59.051,58;6322696299427;56.248,98;1301242484015;53.972,82;698969828629;57.804,31;3723683323098;58.247,40;140235247930
2023-02-03;55.317,20;4029585693417;57.613,48;5180057648646;58.749,15;6290250793864;55.974,17;1295103273381;53.708,18;695174544516;57.509,91;3700348932287;57.925,02;139547519586
2023-02-04;55.317,20;4029585693417;57.613,48;5180057648646;58.749,15;6290250793864;55.974,17;1295103273381;53.708,18;695174544516;57.509,91;3700348932287;57.925,02;139547519586
2023-02-05;55.317,20;4029585693417;57.613,48;5180057648646;58.749,15;6290250793864;55.974,17;1295103273381;53.708,18;695174544516;57.509,91;3700348932287;57.925,02;139547519586
2023-02-06;55.276,53;4027399479179;57.607,30;5180183981165;58.726,28;6288164723984;55.955,79;1295048459784;53.707,22;695246962927;57.459,28;3698961449783;57.909,30;139565061138
2023-02-07;55.613,38;4056759720361;57.931,34;5211814942554;59.060,95;6328152128803;56.281,52;1303229056470;54.014,51;699193476237;57.820,38;3722385575281;58.271,85;140469069277
2023-02-08;55.442,17;4065152361982;57.728,52;5200273220868;58.868,33;6311368389048;56.094,27;1300200347386;53.811,21;697028056297;57.632,20;3719070855897;58.046,70;140097539441
2023-02-09;55.064,10;4040851089533;57.344,79;5167659591626;58.473,02;6271406062953;55.693,20;1291856662830;53.480,90;693235922985;57.198,47;3692546632995;57.675,95;139553006470
2023-02-10;55.224,20;4054350354633;57.532,19;5187540003943;58.650,09;6295412818853;55.859,14;1297078725475;53.637,93;695772338445;57.374,18;3704289750157;57.838,61;140164813332
2023-02-11;55.224,20;4054350354633;57.532,19;5187540003943;58.650,09;6295412818853;55.859,14;1297078725475;53.637,93;695772338445;57.374,18;3704289750157;57.838,61;140164813332
2023-02-12;55.224,20;4054350354633;57.532,19;5187540003943;58.650,09;6295412818853;55.859,14;1297078725475;53.637,93;695772338445;57.374,18;3704289750157;57.838,61;140164813332
2023-02-13;55.279,38;4050041617680;57.581,12;5194876346849;58.692,79;6308101320336;55.905,84;1300851160976;53.666,28;697032676604;57.428,23;3712357361940;57.917,58;140655357274
2023-02-14;55.206,95;4053033825671;57.504,97;5198538803178;58.617,91;6310108972279;55.849,63;1304167385191;53.597,71;698152731713;57.334,47;3707880625499;57.836,84;141275934503
2023-02-15;54.948,12;4036553861395;57.227,45;5166872407186;58.337,76;6280265411088;55.586,13;1299851028899;53.365,84;700709213529;57.049,44;3691752858609;57.552,85;140695429930
2023-02-16;54.923,64;4032478592691;57.206,82;5160423645757;58.314,73;6266746039973;55.574,93;1299001429086;53.327,03;699932009978;57.019,15;3687888586797;57.535,59;140517563457
2023-02-17;54.983,55;4039726406447;57.305,64;5167622275332;58.394,42;6274059777472;55.628,36;1300394970097;53.393,42;701102660115;57.084,64;3691753136226;57.608,80;140609613297
2023-02-18;54.983,55;4039726406447;57.305,64;5167622275332;58.394,42;6274059777472;55.628,36;1300394970097;53.393,42;701102660115;57.084,64;3691753136226;57.608,80;140609613297
2023-02-19;54.983,55;4039726406447;57.305,64;5167622275332;58.394,42;6274059777472;55.628,36;1300394970097;53.393,42;701102660115;57.084,64;3691753136226;57.608,80;140609613297
