
Valores Provisorios - Sujetos a Confirmacion

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2023-01-01;51.817,41;9770854769908;58.958,12;9827562354466;59.173,68;16365874753274;55.169,39;2162736577538;102.323,07;2011457114625;50.051,77;12087394942643;55.570,73;243235788133
2023-01-02;51.817,41;9770854769908;58.958,12;9827562354466;59.173,68;16365874753274;55.169,39;2162736577538;102.323,07;2011457114625;50.051,77;12087394942643;55.570,73;243235788133
2023-01-03;51.832,12;9767853667779;58.964,42;9823241964738;59.175,31;16359971662932;55.164,81;2162180775521;102.368,72;2017534203220;50.059,49;12086829996272;55.590,58;243084523131
2023-01-04;51.722,90;9737710733440;58.850,32;9794340894978;59.063,32;16320180960284;55.053,98;2156669755933;102.137,33;2011433954720;49.963,11;12056560808029;55.471,91;242337771558
2023-01-05;51.844,90;9753708129504;58.988,58;9798591540971;59.193,91;16345701130387;55.178,26;2160594002742;102.324,43;2014529524421;50.057,89;12077947029432;55.599,24;242829055515
2023-01-06;51.842,96;9745248608106;59.001,81;9799593617408;59.190,13;16339635674145;55.138,48;2159076210070;102.318,35;2014523887919;50.027,70;12071182512226;55.563,45;242632191091
2023-01-07;51.842,96;9745248608106;59.001,81;9799593617408;59.190,13;16339635674145;55.138,48;2159076210070;102.318,35;2014523887919;50.027,70;12071182512226;55.563,45;242632191091
2023-01-08;51.842,96;9745248608106;59.001,81;9799593617408;59.190,13;16339635674145;55.138,48;2159076210070;102.318,35;2014523887919;50.027,70;12071182512226;55.563,45;242632191091
2023-01-09;51.966,31;9757866089169;59.114,61;9810559706298;59.365,30;16373963966298;55.283,12;2165177163457;102.536,58;2018425888776;50.192,24;12111137810390;55.704,03;243152840526
2023-01-10;52.005,15;9763191454051;59.148,66;9812613003646;59.440,79;16392171770691;55.312,25;2166802793543;102.617,27;2020347975686;50.223,12;12119748205713;55.765,80;243943945584
2023-01-11;52.024,08;9765309962122;59.164,59;9811553390625;59.464,20;16398943364357;55.348,01;2170735595650;102.646,04;2022297939052;50.239,88;12127729553977;55.794,38;244624712325
2023-01-12;52.159,84;9791050735139;59.296,34;9821558465570;59.631,97;16442388805850;55.493,63;2181973467677;102.894,30;2029364402278;50.381,21;12169696554660;55.923,65;246213461589
2023-01-13;52.345,84;9817574463718;59.523,11;9857840083468;59.849,50;16498473673008;55.682,43;2192387806931;103.207,70;2038067389465;50.547,88;12206680385426;56.110,59;247675432683
2023-01-14;52.345,84;9817574463718;59.523,11;9857840083468;59.849,50;16498473673008;55.682,43;2192387806931;103.207,70;2038067389465;50.547,88;12206680385426;56.110,59;247675432683
2023-01-15;52.345,84;9817574463718;59.523,11;9857840083468;59.849,50;16498473673008;55.682,43;2192387806931;103.207,70;2038067389465;50.547,88;12206680385426;56.110,59;247675432683
