
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2023-01-01;51.817,41;9770854769908;58.958,12;9827562354466;59.173,68;16365874753274;55.169,39;2162736577538;102.323,07;2011457114625;50.051,77;12087394942643;55.570,73;243235788133
2023-01-02;51.817,41;9770854769908;58.958,12;9827562354466;59.173,68;16365874753274;55.169,39;2162736577538;102.323,07;2011457114625;50.051,77;12087394942643;55.570,73;243235788133
2023-01-03;51.832,12;9767853667779;58.964,42;9823241964738;59.175,31;16359971662932;55.164,81;2162180775521;102.368,72;2017534203220;50.059,49;12086829996272;55.590,58;243084523131
2023-01-04;51.722,90;9737710733440;58.850,32;9794340894978;59.063,32;16320180960284;55.053,98;2156669755933;102.137,33;2011433954720;49.963,11;12056560808029;55.471,91;242337771558
2023-01-05;51.844,90;9753708129504;58.988,58;9798591540971;59.193,91;16345701130387;55.178,26;2160594002742;102.324,43;2014529524421;50.057,89;12077947029432;55.599,24;242829055515
2023-01-06;51.842,96;9745248608106;59.001,81;9799593617408;59.190,13;16339635674145;55.138,48;2159076210070;102.318,35;2014523887919;50.027,70;12071182512226;55.563,45;242632191091
2023-01-07;51.842,96;9745248608106;59.001,81;9799593617408;59.190,13;16339635674145;55.138,48;2159076210070;102.318,35;2014523887919;50.027,70;12071182512226;55.563,45;242632191091
2023-01-08;51.842,96;9745248608106;59.001,81;9799593617408;59.190,13;16339635674145;55.138,48;2159076210070;102.318,35;2014523887919;50.027,70;12071182512226;55.563,45;242632191091
2023-01-09;51.966,31;9757866089169;59.114,61;9810559706298;59.365,30;16373963966298;55.283,12;2165177163457;102.536,58;2018425888776;50.192,24;12111137810390;55.704,03;243152840526
2023-01-10;52.005,15;9763191454051;59.148,66;9812613003646;59.440,79;16392171770691;55.312,25;2166802793543;102.617,27;2020347975686;50.223,12;12119748205713;55.765,80;243943945584
2023-01-11;52.024,08;9765309962122;59.164,59;9811553390625;59.464,20;16398943364357;55.348,01;2170735595650;102.646,04;2022297939052;50.239,88;12127729553977;55.794,38;244624712325
2023-01-12;52.159,84;9791050735139;59.296,34;9821558465570;59.631,97;16442388805850;55.493,63;2181973467677;102.894,30;2029364402278;50.381,21;12169696554660;55.923,65;246213461589
2023-01-13;52.345,84;9817574463718;59.523,11;9857840083468;59.849,50;16498473673008;55.682,43;2192387806931;103.207,70;2038067389465;50.547,88;12206680385426;56.110,59;247675432683
2023-01-14;52.345,84;9817574463718;59.523,11;9857840083468;59.849,50;16498473673008;55.682,43;2192387806931;103.207,70;2038067389465;50.547,88;12206680385426;56.110,59;247675432683
2023-01-15;52.345,84;9817574463718;59.523,11;9857840083468;59.849,50;16498473673008;55.682,43;2192387806931;103.207,70;2038067389465;50.547,88;12206680385426;56.110,59;247675432683
2023-01-16;52.364,14;9826893411264;59.546,01;9865805836780;59.852,50;16493270421564;55.701,19;2197010260331;103.241,42;2049745771898;50.545,91;12207887498377;56.121,44;249040482173
2023-01-17;52.222,09;9800338183514;59.398,73;9842818722130;59.694,50;16448069814763;55.560,48;2193911251298;103.015,73;2049322641937;50.389,84;12185488682549;55.991,76;249551478452
2023-01-18;52.151,97;9784400529612;59.349,12;9830730556033;59.614,19;16438846553848;55.493,11;2190984123517;102.874,15;2046808581404;50.307,79;12164771736734;55.931,82;249163560818
2023-01-19;52.066,98;9766366314497;59.241,67;9810505527606;59.537,90;16414300534075;55.391,29;2186831594218;102.690,93;2042524966328;50.248,31;12149324854648;55.840,89;248255056000
2023-01-20;52.262,76;9800756303593;59.476,90;9847207221978;59.761,70;16471131652118;55.601,42;2194849022838;103.107,39;2049861278937;50.435,73;12193458239220;56.066,17;248875105776
2023-01-21;52.262,76;9800756303593;59.476,90;9847207221978;59.761,70;16471131652118;55.601,42;2194849022838;103.107,39;2049861278937;50.435,73;12193458239220;56.066,17;248875105776
2023-01-22;52.262,76;9800756303593;59.476,90;9847207221978;59.761,70;16471131652118;55.601,42;2194849022838;103.107,39;2049861278937;50.435,73;12193458239220;56.066,17;248875105776
2023-01-23;52.127,49;9775160496105;59.306,20;9818316142811;59.630,35;16433395514085;55.464,33;2189416377281;102.835,12;2044295132979;50.290,98;12157460984630;55.917,79;248134601085
2023-01-24;52.176,13;9783110442184;59.380,79;9828908639276;59.697,47;16450928629393;55.550,46;2192811432358;102.973,19;2046826665995;50.338,52;12167505872800;56.005,06;248753180426
2023-01-25;52.057,26;9760417373791;59.216,64;9796953131019;59.524,76;16401801177093;55.394,40;2185522462975;102.700,27;2041413961715;50.186,63;12130084943323;55.874,71;248299515509
2023-01-26;52.019,01;9754249293892;59.163,19;9784586746918;59.489,12;16390981471799;55.356,42;2183671710858;102.588,30;2038756337393;50.158,86;12121839957634;55.838,82;248063085087
2023-01-27;52.183,52;9787925509966;59.369,00;9816436898424;59.689,37;16444837582478;55.523,91;2189747827265;102.933,39;2045549746605;50.316,29;12159406510171;56.032,20;248921913033
2023-01-28;52.183,52;9787925509966;59.369,00;9816436898424;59.689,37;16444837582478;55.523,91;2189747827265;102.933,39;2045549746605;50.316,29;12159406510171;56.032,20;248921913033
2023-01-29;52.183,52;9787925509966;59.369,00;9816436898424;59.689,37;16444837582478;55.523,91;2189747827265;102.933,39;2045549746605;50.316,29;12159406510171;56.032,20;248921913033
2023-01-30;52.220,83;9798866067248;59.430,72;9829729107639;59.713,87;16452063486679;55.579,13;2192137276462;103.044,96;2047567974469;50.329,74;12162789593166;56.082,91;249080973596
2023-01-31;52.212,42;9780214095148;59.413,10;9811492805375;59.697,81;16421481112359;55.566,47;2194524040025;103.010,64;2046367421660;50.296,16;12114641350411;56.072,44;249221521563
